date,open,close,high,low,volume,amount,symbol
20120912,272.91,272.32,273.21,271.77,57241100,573245728.0,000832.SH
20120913,272.32,271.85,272.38,271.74,81795400,833570016.0,000832.SH
20120914,272.19,272.31,272.41,271.65,60719400,616228672.0,000832.SH
20120917,272.22,270.45,274.05,270.36,82967700,845666608.0,000832.SH
20120918,270.46,269.75,270.99,269.62,43875600,444855152.0,000832.SH
20120919,269.75,269.02,269.83,268.79,118241700,1160430496.0,000832.SH
20120920,269.06,269.2,269.7,269.02,224477900,2200313328.0,000832.SH
20120921,269.2,269.08,269.38,268.92,91640200,900462912.0,000832.SH
20120924,269.09,268.63,269.1,268.56,79470800,791286464.0,000832.SH
20120925,268.63,268.35,268.75,268.12,56439000,560618224.0,000832.SH
20120926,268.4,268.35,268.53,268.16,45233400,444084976.0,000832.SH
20120927,268.38,269.58,270.45,268.38,83977600,838962848.0,000832.SH
20120928,269.54,270.72,270.78,269.4,135108800,1352921680.0,000832.SH
20121008,270.75,270.31,270.95,270.26,42340100,422543504.0,000832.SH
20121009,270.4,271.91,272.02,270.4,133382800,1328748464.0,000832.SH
20121010,271.92,272.24,272.38,271.55,78139500,773299040.0,000832.SH
20121011,272.19,272.22,272.83,271.69,64545900,648586832.0,000832.SH
20121012,272.23,272.54,273.17,272.23,67405800,678583712.0,000832.SH
20121015,272.6,271.93,272.68,271.72,41502800,421909472.0,000832.SH
20121016,271.93,271.78,272.12,271.61,32495600,326718784.0,000832.SH
20121017,271.78,272.44,272.51,271.68,58672500,590298464.0,000832.SH
20121018,272.53,273.57,273.81,272.45,97566700,986684032.0,000832.SH
20121019,273.57,274.03,274.07,273.57,54004200,544229856.0,000832.SH
20121022,273.97,274.02,274.04,273.25,62242000,633923056.0,000832.SH
20121023,274.02,273.1,274.08,273.04,64954700,657000112.0,000832.SH
20121024,273.04,272.4,273.09,272.28,81607200,816530816.0,000832.SH
20121025,272.43,271.98,272.73,271.8,70503900,706176000.0,000832.SH
20121026,271.99,270.98,272.16,270.62,71234000,708014176.0,000832.SH
20121029,270.98,270.38,271.11,270.3,45761100,462409104.0,000832.SH
20121030,270.38,270.52,270.75,270.23,41112300,411994352.0,000832.SH
20121031,270.51,270.53,270.63,270.22,42388200,429808256.0,000832.SH
20121101,270.56,271.52,271.81,270.56,106879500,1076904896.0,000832.SH
20121102,271.59,272.13,272.17,271.38,112744700,1129273840.0,000832.SH
20121105,272.07,271.61,272.38,271.43,119757100,1210631456.0,000832.SH
20121106,271.6,270.92,271.6,270.42,113350800,1136551440.0,000832.SH
20121107,270.94,271.07,271.16,270.64,101608300,1020803248.0,000832.SH
20121108,270.97,270.5,270.97,270.44,102806500,1031245664.0,000832.SH
20121109,270.4,270.79,270.94,270.3,85672800,864457504.0,000832.SH
20121112,270.79,271.22,271.26,270.5,114078100,1148182048.0,000832.SH
20121113,271.2,270.32,271.21,270.27,61247600,620275360.0,000832.SH
20121114,270.3,270.56,270.62,270.0,53912900,548109616.0,000832.SH
20121115,270.53,269.94,270.53,269.86,56047600,563510352.0,000832.SH
20121116,269.79,269.74,269.92,269.54,78355800,785209712.0,000832.SH
20121119,269.74,269.91,269.98,269.46,46786000,470976464.0,000832.SH
20121120,269.97,269.7,270.01,269.56,36301400,364550384.0,000832.SH
20121121,269.68,269.95,270.0,269.54,52463800,533671872.0,000832.SH
20121122,269.95,269.64,269.95,269.54,50930200,516456368.0,000832.SH
20121123,269.66,270.26,270.29,269.58,91586800,927768880.0,000832.SH
20121126,270.25,270.47,270.55,270.09,54688900,562962800.0,000832.SH
20121127,270.48,270.41,270.49,270.15,67579100,683114624.0,000832.SH
20121128,270.33,270.03,270.33,269.81,57631000,581313536.0,000832.SH
20121129,270.0,270.39,270.48,269.97,83103300,838353392.0,000832.SH
20121130,270.41,270.66,270.75,270.32,61264600,610140496.0,000832.SH
20121203,270.66,270.28,270.85,270.24,54854900,544581680.0,000832.SH
20121204,270.28,270.2,270.29,269.84,62810500,621337568.0,000832.SH
20121205,270.19,271.87,271.93,270.05,200359400,2023372816.0,000832.SH
