symbol,date,open,high,close,low,volume
000905.SH,20240618,5207.9777,5243.5867,5230.8913,5204.9707,94090903.0
000905.SH,20240617,5189.284,5223.5894,5207.128,5184.5987,107970664.0
000905.SH,20240614,5180.2887,5235.8781,5213.0927,5163.384,133998620.0
000905.SH,20240613,5231.9096,5233.7954,5194.59,5182.7423,118232764.0
000905.SH,20240612,5209.1344,5245.9909,5232.9534,5205.5716,103065569.0
000905.SH,20240611,5182.4129,5232.8495,5217.4702,5159.334,116437116.0
000905.SH,20240607,5247.1462,5258.818,5208.9798,5172.0505,113527478.0
000905.SH,20240606,5291.5208,5305.878,5228.8002,5213.6618,133368231.0
000905.SH,20240605,5328.8678,5347.4297,5277.9405,5277.9405,105792757.0
000905.SH,20240604,5263.2256,5352.2839,5341.9496,5247.5837,108083144.0
000905.SH,20240603,5300.7869,5316.3352,5274.0687,5232.688,126968515.0
000905.SH,20240531,5310.7218,5357.021,5308.5403,5308.5403,104151147.0
000905.SH,20240530,5316.3983,5349.688,5308.66,5296.4925,107350187.0
000905.SH,20240529,5308.593,5361.744,5328.3064,5305.9631,104361267.0
000905.SH,20240528,5363.33,5365.473,5316.1286,5310.3183,110965373.0
000905.SH,20240527,5325.8508,5373.1116,5371.3693,5284.5055,115643229.0
000905.SH,20240524,5348.51,5400.1594,5313.4546,5311.4888,106564175.0
000905.SH,20240523,5448.9403,5448.9403,5362.3053,5352.3934,126657569.0
000905.SH,20240522,5472.0098,5486.3049,5468.6068,5455.0766,113057782.0
000905.SH,20240521,5511.4838,5513.4235,5478.9131,5460.975,108691192.0
000905.SH,20240520,5496.7904,5536.662,5523.5013,5484.358,144971448.0
000905.SH,20240517,5418.6575,5493.2007,5491.8944,5409.7047,126916168.0
000905.SH,20240516,5461.1077,5475.3735,5424.6652,5408.1251,122108119.0
000905.SH,20240515,5495.5571,5497.0842,5446.6557,5441.3548,110124989.0
000905.SH,20240514,5508.4663,5538.7434,5500.7379,5484.964,118994399.0
000905.SH,20240513,5503.1286,5527.2001,5505.2595,5462.5075,131627588.0
000905.SH,20240510,5562.1931,5570.5652,5535.3954,5497.4972,128688030.0
000905.SH,20240509,5461.36,5568.7324,5556.7712,5461.36,131121230.0
000905.SH,20240508,5516.4477,5516.4477,5458.7559,5454.8735,123955621.0
000905.SH,20240507,5532.323,5543.1251,5527.0847,5507.5008,136535402.0
000905.SH,20240506,5498.4442,5535.9488,5528.6036,5496.9071,165791626.0
000905.SH,20240430,5471.1676,5478.0353,5441.1411,5436.5752,162797344.0
000905.SH,20240429,5371.2122,5488.2776,5478.4908,5371.2122,190936055.0
000905.SH,20240426,5258.3847,5379.6707,5372.1209,5258.3847,173777701.0
000905.SH,20240425,5240.4817,5297.1627,5259.3354,5229.8248,110833929.0
000905.SH,20240424,5210.1831,5263.0391,5263.0391,5183.7005,117297220.0
000905.SH,20240423,5257.766,5280.0593,5208.2712,5196.955,125801120.0
000905.SH,20240422,5289.4066,5340.6307,5267.5811,5264.1859,135266882.0
000905.SH,20240419,5322.3588,5369.9543,5314.8667,5292.0162,142134216.0
000905.SH,20240418,5317.7986,5410.6963,5349.8361,5299.2288,153497682.0
000905.SH,20240417,5211.2486,5339.7467,5339.7467,5211.2486,147594552.0
000905.SH,20240416,5309.1005,5346.7615,5191.554,5184.6535,162583973.0
000905.SH,20240415,5270.0415,5376.0484,5339.7223,5219.4286,159217624.0
000905.SH,20240412,5307.7225,5336.4477,5277.219,5270.4618,118524933.0
000905.SH,20240411,5244.0544,5353.8091,5301.8094,5240.5101,127745143.0
000905.SH,20240410,5335.7302,5335.7302,5275.4727,5242.863,117908618.0
000905.SH,20240409,5294.4743,5342.8982,5342.8982,5284.9557,113300745.0
000905.SH,20240408,5358.9565,5383.6587,5298.5912,5297.559,148588559.0
000905.SH,20240403,5373.5021,5386.3422,5374.5954,5350.1601,133628053.0
000905.SH,20240402,5395.4811,5402.1597,5381.2291,5353.3119,132148642.0
000905.SH,20240401,5309.8325,5401.7799,5401.2249,5309.8325,136734854.0
000905.SH,20240329,5220.5524,5287.0376,5286.1612,5211.1946,109047149.0
000905.SH,20240328,5156.4803,5276.6382,5223.806,5156.4803,116318192.0
000905.SH,20240327,5280.7332,5282.6954,5156.684,5156.684,110107142.0
000905.SH,20240326,5291.5227,5318.8757,5284.4188,5237.8993,116468112.0
000905.SH,20240325,5369.7761,5401.5975,5294.7463,5292.6372,130778254.0
000905.SH,20240322,5454.4143,5463.5407,5384.5656,5356.108,137096029.0
000905.SH,20240321,5505.6985,5517.4566,5465.8286,5454.2313,129489458.0
000905.SH,20240320,5469.606,5499.2382,5493.414,5455.7613,126273262.0
000905.SH,20240319,5514.55,5533.639,5478.2248,5477.1172,146777240.0
000905.SH,20240318,5472.3147,5528.447,5528.447,5459.5453,159862638.0
000905.SH,20240315,5380.019,5456.7336,5454.1463,5357.1797,136405030.0
000905.SH,20240314,5415.1499,5447.5416,5392.9267,5352.1195,131887357.0
000905.SH,20240313,5430.0437,5459.3222,5415.1126,5389.5251,129746301.0
000905.SH,20240312,5445.8776,5473.2901,5423.7183,5385.1402,147072536.0
000905.SH,20240311,5342.1778,5443.0421,5441.0507,5339.2607,142981732.0
000905.SH,20240308,5282.4077,5361.7104,5349.595,5268.5296,121467978.0
000905.SH,20240307,5354.3337,5384.6567,5277.2988,5277.2988,139831342.0
000905.SH,20240306,5332.8328,5405.4908,5350.1016,5293.9518,121099564.0
000905.SH,20240305,5358.2206,5382.9834,5351.8268,5329.9702,140816479.0
000905.SH,20240304,5386.9441,5400.1227,5388.82,5325.9642,143928469.0
000905.SH,20240301,5350.8566,5387.7839,5379.0482,5321.5587,142298395.0
000905.SH,20240229,5154.1487,5349.7678,5346.7929,5154.1487,160790165.0
