date,open,close,high,low,volume,symbol
20191205,0.983,0.986,0.995,0.978,122257,159985.SZ
20191206,0.993,0.984,0.996,0.982,281011,159985.SZ
20191209,0.986,0.988,0.993,0.986,110016,159985.SZ
20191210,0.987,0.987,0.99,0.984,53524,159985.SZ
20191211,0.991,0.992,0.995,0.989,135801,159985.SZ
20191212,0.99,0.985,0.99,0.985,87262,159985.SZ
20191213,0.983,0.975,0.983,0.972,132745,159985.SZ
20191216,0.978,0.983,0.983,0.977,96974,159985.SZ
20191217,0.981,0.983,0.983,0.98,81848,159985.SZ
20191218,0.984,0.986,0.988,0.984,96034,159985.SZ
20191219,0.984,0.977,0.984,0.977,83682,159985.SZ
20191220,0.98,0.977,0.981,0.975,59994,159985.SZ
20191223,0.979,0.98,0.984,0.978,96949,159985.SZ
20191224,0.982,0.981,0.983,0.979,44233,159985.SZ
20191225,0.978,0.977,0.978,0.975,84515,159985.SZ
20191226,0.976,0.976,0.977,0.973,135562,159985.SZ
20191227,0.976,0.976,0.978,0.975,54578,159985.SZ
20191230,0.976,0.988,0.988,0.975,141009,159985.SZ
20191231,0.994,0.989,0.994,0.987,90118,159985.SZ
20200102,0.989,0.988,0.992,0.986,118014,159985.SZ
20200103,0.988,0.984,0.992,0.984,105365,159985.SZ
20200106,0.979,0.978,0.98,0.976,115055,159985.SZ
20200107,0.98,0.978,0.98,0.978,39603,159985.SZ
20200108,0.975,0.975,0.979,0.972,178711,159985.SZ
20200109,0.971,0.97,0.974,0.967,206169,159985.SZ
20200110,0.965,0.956,0.965,0.955,297159,159985.SZ
20200113,0.957,0.948,0.957,0.947,194324,159985.SZ
20200114,0.953,0.95,0.953,0.948,365533,159985.SZ
20200115,0.951,0.962,0.964,0.951,251275,159985.SZ
20200116,0.957,0.959,0.959,0.955,109584,159985.SZ
20200117,0.958,0.957,0.959,0.95,188650,159985.SZ
20200120,0.956,0.957,0.958,0.955,60251,159985.SZ
20200121,0.957,0.966,0.968,0.956,161676,159985.SZ
20200122,0.956,0.954,0.957,0.951,301154,159985.SZ
20200123,0.952,0.944,0.953,0.942,122113,159985.SZ
20200203,0.908,0.919,0.922,0.908,171550,159985.SZ
20200204,0.935,0.946,0.947,0.933,122398,159985.SZ
20200205,0.944,0.942,0.945,0.939,115564,159985.SZ
20200206,0.941,0.943,0.944,0.935,113022,159985.SZ
20200207,0.941,0.94,0.942,0.938,79758,159985.SZ
20200210,0.942,0.95,0.951,0.942,73893,159985.SZ
20200211,0.947,0.948,0.951,0.945,54476,159985.SZ
20200212,0.948,0.944,0.951,0.942,100831,159985.SZ
20200213,0.95,0.959,0.96,0.946,184280,159985.SZ
