symbol,date,open,high,close,low,volume
399006.SZ,20240618,1805.159,1822.1146,1811.3649,1802.6264,135486711.0
399006.SZ,20240617,1780.9359,1810.999,1806.193,1780.513,121762034.0
399006.SZ,20240614,1777.275,1792.8048,1791.362,1758.8892,129081810.0
399006.SZ,20240613,1786.1053,1799.0904,1777.7911,1776.0811,128656664.0
399006.SZ,20240612,1779.3179,1789.4109,1779.4182,1778.1281,126999546.0
399006.SZ,20240611,1766.9153,1791.0014,1787.3016,1761.5843,122648144.0
399006.SZ,20240607,1812.4559,1820.7396,1781.07,1764.8359,133117037.0
399006.SZ,20240606,1840.246,1845.5451,1820.4485,1815.2781,172431871.0
399006.SZ,20240605,1840.079,1858.6855,1833.5495,1833.5495,135998890.0
399006.SZ,20240604,1816.3676,1848.56,1843.5924,1815.0715,148829485.0
399006.SZ,20240603,1806.4086,1823.5114,1819.4552,1800.1985,151953407.0
399006.SZ,20240531,1812.6117,1831.7146,1805.1089,1805.1089,140767250.0
399006.SZ,20240530,1810.6572,1820.2943,1813.1545,1805.3488,129004865.0
399006.SZ,20240529,1808.4851,1832.7146,1811.0683,1804.1108,131865613.0
399006.SZ,20240528,1824.0874,1827.7442,1806.2546,1805.6485,134487619.0
399006.SZ,20240527,1824.1652,1832.8193,1830.9578,1802.7655,136433218.0
399006.SZ,20240524,1845.0129,1861.9299,1818.5616,1818.1375,139625333.0
399006.SZ,20240523,1876.5613,1879.6212,1852.067,1847.6946,152265214.0
399006.SZ,20240522,1863.1413,1883.174,1877.9267,1855.254,138468862.0
399006.SZ,20240521,1871.7788,1873.0869,1861.4815,1855.4365,139081434.0
399006.SZ,20240520,1869.5451,1887.0544,1875.9276,1865.8811,156277546.0
399006.SZ,20240517,1838.985,1865.8982,1864.9391,1833.4336,149789562.0
399006.SZ,20240516,1846.9782,1861.3779,1844.2111,1837.0157,147068864.0
399006.SZ,20240515,1857.5763,1866.4127,1838.8872,1837.5414,140058749.0
399006.SZ,20240514,1864.3854,1873.1381,1855.5976,1851.3865,147873924.0
399006.SZ,20240513,1859.3437,1876.1722,1860.3664,1851.2545,148801973.0
399006.SZ,20240510,1899.0514,1900.1003,1878.1652,1872.0711,163497204.0
399006.SZ,20240509,1872.7042,1903.1118,1900.0092,1872.7042,158275822.0
399006.SZ,20240508,1887.8244,1887.8244,1865.1079,1863.2157,165941538.0
399006.SZ,20240507,1896.7246,1900.9438,1892.5393,1888.2556,164718673.0
399006.SZ,20240506,1896.841,1907.0213,1895.2075,1889.7825,161040464.0
399006.SZ,20240430,1874.6798,1878.833,1858.3934,1857.7639,162180721.0
399006.SZ,20240429,1831.4445,1904.9152,1887.5712,1831.4445,186745460.0
399006.SZ,20240426,1767.7217,1826.4903,1823.7415,1767.7217,184375658.0
399006.SZ,20240425,1753.1224,1778.7992,1764.7274,1747.8189,151405721.0
399006.SZ,20240424,1757.3111,1768.2376,1765.4103,1744.3599,150216622.0
399006.SZ,20240423,1753.5836,1764.7738,1753.1612,1740.7905,129549196.0
399006.SZ,20240422,1739.0072,1766.2502,1750.4634,1735.2839,132054545.0
399006.SZ,20240419,1772.1813,1775.376,1756.0006,1740.4014,139553557.0
399006.SZ,20240418,1784.7823,1807.7854,1787.4886,1765.6989,149372895.0
399006.SZ,20240417,1765.2855,1797.5516,1797.3113,1765.2855,159990220.0
399006.SZ,20240416,1783.5707,1791.2994,1760.2004,1759.5126,172826400.0
399006.SZ,20240415,1770.1721,1807.9472,1795.5179,1770.1721,168221713.0
399006.SZ,20240412,1780.9897,1789.2742,1762.8771,1760.9438,124825306.0
399006.SZ,20240411,1777.201,1799.8605,1782.0853,1775.6586,126469148.0
399006.SZ,20240410,1818.4051,1818.7336,1789.9413,1781.1298,134716461.0
399006.SZ,20240409,1807.4784,1827.6764,1827.5788,1801.708,123544621.0
399006.SZ,20240408,1834.4528,1840.5498,1807.0481,1807.0481,141326021.0
399006.SZ,20240403,1853.5577,1853.8717,1840.412,1839.2056,152065564.0
399006.SZ,20240402,1869.3232,1869.9583,1860.4936,1851.2505,168030841.0
399006.SZ,20240401,1833.4916,1872.1179,1872.1179,1833.4916,162047395.0
399006.SZ,20240329,1806.6718,1822.7494,1818.2032,1800.2031,154791278.0
399006.SZ,20240328,1790.5802,1829.4734,1806.8968,1787.9645,166557234.0
399006.SZ,20240327,1840.1928,1840.1928,1789.8191,1789.8191,160450458.0
399006.SZ,20240326,1832.6553,1856.2045,1841.5352,1829.4772,163736939.0
399006.SZ,20240325,1864.5316,1871.0637,1833.4412,1833.1026,179402176.0
399006.SZ,20240322,1893.1404,1897.3081,1869.1747,1860.3535,200894791.0
399006.SZ,20240321,1912.8087,1920.5541,1897.0943,1897.0468,188961185.0
399006.SZ,20240320,1898.1836,1915.465,1909.2454,1897.6004,173063476.0
399006.SZ,20240319,1917.9205,1925.6946,1906.9385,1906.9385,173103435.0
399006.SZ,20240318,1906.1159,1926.3963,1926.3963,1902.1334,178792977.0
399006.SZ,20240315,1877.5695,1886.9511,1884.0881,1848.224,148672338.0
