date,open,close,high,low,volume,symbol
20210611,1.001,1.013,1.017,1.0,1388024,516910.SH
20210615,1.011,1.001,1.014,0.994,206661,516910.SH
20210616,1.001,0.975,1.001,0.974,43961,516910.SH
20210617,0.979,0.979,0.984,0.979,24437,516910.SH
20210618,0.985,1.007,1.007,0.985,132282,516910.SH
20210621,1.01,1.026,1.032,1.005,335505,516910.SH
20210622,1.025,1.022,1.029,1.018,127250,516910.SH
20210623,1.022,1.029,1.032,1.019,102148,516910.SH
20210624,1.034,1.035,1.041,1.028,107923,516910.SH
20210625,1.036,1.023,1.036,1.018,49836,516910.SH
20210628,1.023,1.011,1.023,1.01,21901,516910.SH
20210629,1.012,1.001,1.012,1.001,30381,516910.SH
20210630,1.0,1.003,1.006,0.997,42702,516910.SH
20210701,1.003,0.995,1.006,0.993,30222,516910.SH
20210702,0.99,0.991,0.996,0.989,25183,516910.SH
20210705,0.99,1.001,1.002,0.99,25864,516910.SH
20210706,1.003,1.009,1.017,1.002,50795,516910.SH
20210707,1.003,1.018,1.021,1.001,64162,516910.SH
20210708,1.015,1.007,1.021,1.007,50663,516910.SH
20210709,1.007,1.02,1.02,1.001,36741,516910.SH
20210712,1.022,1.03,1.035,1.022,42785,516910.SH
20210713,1.046,1.031,1.046,1.023,30126,516910.SH
20210714,1.035,1.026,1.037,1.026,30429,516910.SH
20210715,1.026,1.017,1.026,1.005,74285,516910.SH
20210716,1.017,1.016,1.024,1.016,91916,516910.SH
20210719,1.016,1.011,1.02,1.008,39939,516910.SH
20210720,1.011,1.006,1.011,1.001,17173,516910.SH
20210721,1.01,1.014,1.015,1.009,33625,516910.SH
20210722,1.015,1.01,1.015,1.007,94422,516910.SH
20210723,1.011,1.002,1.011,0.999,93429,516910.SH
20210726,0.998,0.986,0.998,0.975,82616,516910.SH
20210727,0.986,0.964,0.993,0.964,14465,516910.SH
20210728,0.965,0.943,0.965,0.935,16856,516910.SH
20210729,0.951,0.967,0.968,0.951,10054,516910.SH
20210730,0.97,0.965,0.97,0.957,20990,516910.SH
20210802,0.964,0.984,0.987,0.958,14635,516910.SH
20210803,0.984,0.977,0.984,0.975,41320,516910.SH
20210804,0.979,0.984,0.984,0.978,40335,516910.SH
20210805,0.984,0.976,0.984,0.974,14814,516910.SH
20210806,0.977,0.972,0.977,0.966,4856,516910.SH
20210809,0.972,0.986,0.988,0.969,10237,516910.SH
20210810,0.987,0.996,0.997,0.986,27571,516910.SH
20210811,1.004,0.997,1.004,0.993,14241,516910.SH
20210812,0.999,1.005,1.007,0.998,41195,516910.SH
20210813,1.005,1.008,1.009,1.0,76157,516910.SH
20210816,1.007,1.013,1.017,1.006,58930,516910.SH
20210817,1.013,0.999,1.019,0.996,69537,516910.SH
20210818,0.998,1.005,1.006,0.992,61447,516910.SH
20210819,1.004,1.006,1.01,0.997,60548,516910.SH
20210820,1.006,1.022,1.023,1.003,72130,516910.SH
20210823,1.023,1.033,1.035,1.02,89489,516910.SH
20210824,1.032,1.045,1.045,1.03,121066,516910.SH
20210825,1.045,1.05,1.052,1.043,94531,516910.SH
20210826,1.049,1.049,1.057,1.047,100771,516910.SH
20210827,1.048,1.042,1.05,1.038,68650,516910.SH
20210830,1.041,1.053,1.06,1.041,61011,516910.SH
20210831,1.053,1.045,1.053,1.036,52148,516910.SH
20210901,1.045,1.06,1.062,1.042,25388,516910.SH
20210902,1.06,1.08,1.086,1.046,189482,516910.SH
20210903,1.08,1.085,1.092,1.077,103251,516910.SH
20210906,1.084,1.098,1.098,1.08,114098,516910.SH
20210907,1.105,1.106,1.108,1.09,109676,516910.SH
20210908,1.106,1.11,1.113,1.098,83460,516910.SH
20210909,1.109,1.13,1.13,1.108,209024,516910.SH
20210910,1.13,1.119,1.137,1.116,135892,516910.SH
20210913,1.118,1.131,1.131,1.106,111367,516910.SH
20210914,1.131,1.114,1.133,1.113,116734,516910.SH
20210915,1.111,1.112,1.121,1.106,108259,516910.SH
20210916,1.115,1.092,1.121,1.091,123351,516910.SH
20210917,1.081,1.099,1.106,1.072,155792,516910.SH
20210922,1.086,1.121,1.122,1.082,130743,516910.SH
20210923,1.127,1.136,1.147,1.127,135880,516910.SH
20210924,1.145,1.115,1.145,1.113,164044,516910.SH
20210927,1.1,1.086,1.118,1.079,167654,516910.SH
20210928,1.073,1.079,1.087,1.069,194976,516910.SH
20210929,1.058,1.051,1.083,1.048,184410,516910.SH
20210930,1.05,1.059,1.062,1.03,199056,516910.SH
20211008,1.063,1.082,1.084,1.063,186677,516910.SH
20211011,1.082,1.073,1.094,1.07,153665,516910.SH
20211012,1.066,1.045,1.075,1.034,170395,516910.SH
20211013,1.045,1.043,1.046,1.028,193059,516910.SH
20211014,1.041,1.043,1.046,1.038,167566,516910.SH
20211015,1.05,1.038,1.053,1.036,166373,516910.SH
20211018,1.03,1.045,1.045,1.027,154591,516910.SH
20211019,1.045,1.06,1.062,1.045,177113,516910.SH
20211020,1.066,1.059,1.067,1.055,179552,516910.SH
