symbol,date,open,high,close,low,volume
HSI,20240618,17961.89,18043.48,17915.55,17854.79,2550031.0
HSI,20240617,17848.87,18122.8,17936.12,17752.96,2118421.0
HSI,20240614,18028.07,18109.89,17941.78,17927.16,2621288.0
HSI,20240613,18104.13,18173.53,18112.63,17971.57,2331253.0
HSI,20240612,18032.4,18063.72,17937.84,17848.76,3139463.0
HSI,20240611,18163.12,18267.69,18176.34,17994.1,3528462.0
HSI,20240607,18562.48,18575.69,18366.95,18302.33,3310059.0
HSI,20240606,18577.58,18700.68,18476.8,18383.8,2797747.0
HSI,20240605,18489.78,18724.62,18424.96,18375.27,3250805.0
HSI,20240604,18335.45,18541.03,18444.11,18335.45,2971467.0
HSI,20240603,18283.56,18573.81,18403.04,18283.56,3140936.0
HSI,20240531,18409.62,18551.18,18079.61,18077.39,5337054.0
HSI,20240530,18423.78,18537.92,18230.19,18163.21,3492797.0
HSI,20240529,18659.41,18694.55,18477.01,18425.09,3215579.0
HSI,20240528,18814.01,19000.52,18821.16,18776.1,2432705.0
HSI,20240527,18606.02,18871.13,18827.35,18504.53,2906071.0
HSI,20240524,18742.28,18867.91,18608.94,18532.41,3549018.0
HSI,20240523,19024.41,19024.41,18868.71,18776.21,3166006.0
HSI,20240522,19225.26,19359.68,19195.6,19149.41,2837605.0
HSI,20240521,19473.67,19487.36,19220.62,19175.8,3517187.0
HSI,20240520,19621.43,19706.12,19636.22,19574.56,3501238.0
HSI,20240517,19525.12,19602.24,19553.61,19342.96,4376058.0
HSI,20240516,19262.79,19442.9,19376.53,19114.38,5813458.0
HSI,20240514,19203.82,19301.13,19073.71,19072.64,3455243.0
HSI,20240513,18904.58,19123.48,19115.06,18827.6,3760626.0
HSI,20240510,18669.43,18993.28,18963.68,18657.51,6506900.0
HSI,20240509,18306.25,18560.76,18537.81,18278.11,2904975.0
HSI,20240508,18510.54,18606.56,18313.86,18298.36,2911676.0
HSI,20240507,18577.55,18638.81,18479.37,18411.02,2494400.0
HSI,20240506,18488.55,18590.17,18578.3,18389.54,3438627.0
HSI,20240503,18543.3,18604.17,18475.92,18362.22,2476086.0
HSI,20240502,17760.68,18217.82,18207.13,17740.62,2424963.0
HSI,20240430,17843.44,17902.02,17763.03,17686.94,3679962.0
HSI,20240429,17737.93,18031.16,17746.91,17679.19,4850882.0
HSI,20240426,17336.2,17758.24,17651.15,17336.2,3850969.0
HSI,20240425,17144.12,17438.83,17284.54,17109.57,3147284.0
HSI,20240424,16993.17,17217.86,17201.27,16934.65,3314753.0
HSI,20240423,16679.39,16846.13,16828.93,16599.21,2993656.0
HSI,20240422,16410.83,16637.82,16511.69,16410.83,2915063.0
HSI,20240419,16246.34,16254.9,16224.14,16044.45,3393743.0
HSI,20240418,16253.24,16507.6,16385.87,16206.55,3228015.0
HSI,20240417,16225.54,16316.69,16251.84,16155.83,2450526.0
HSI,20240416,16367.69,16449.24,16248.97,16208.64,3092912.0
HSI,20240415,16487.36,16647.09,16600.46,16465.4,2561791.0
HSI,20240412,16978.7,17031.31,16721.69,16721.69,2840321.0
HSI,20240411,16856.19,17141.36,17095.03,16856.19,2480545.0
HSI,20240410,16926.02,17190.5,17139.17,16918.36,2549075.0
HSI,20240409,16819.18,17006.85,16828.07,16805.99,2120057.0
HSI,20240408,16650.83,16895.06,16732.85,16580.53,2636773.0
HSI,20240405,16787.93,16839.55,16723.92,16480.36,1804396.0
HSI,20240403,16926.85,16926.85,16725.1,16689.19,2667363.0
HSI,20240402,16811.74,17007.34,16931.52,16811.74,3983141.0
HSI,20240328,16378.4,16725.61,16541.42,16345.9,3203421.0
HSI,20240327,16530.44,16612.0,16392.84,16354.81,2769890.0
HSI,20240326,16548.5,16728.9,16618.32,16452.55,2745766.0
HSI,20240325,16531.95,16612.64,16473.64,16441.3,2624506.0
HSI,20240322,16745.27,16747.2,16499.47,16341.61,3110411.0
HSI,20240321,16762.83,16973.52,16863.1,16762.83,3220967.0
HSI,20240320,16559.01,16654.08,16543.07,16430.12,2291673.0
HSI,20240319,16628.07,16682.54,16529.48,16492.09,2433583.0
HSI,20240318,16690.26,16801.64,16737.12,16641.58,2241777.0
HSI,20240315,16758.36,16821.13,16720.89,16550.42,3776694.0
HSI,20240314,17120.54,17209.82,16961.66,16878.11,2699096.0
HSI,20240313,17059.11,17214.67,17082.11,17050.87,2801014.0
HSI,20240312,16701.95,17154.87,17093.5,16613.45,4001753.0
HSI,20240311,16416.17,16625.64,16587.57,16416.17,2494031.0
HSI,20240308,16275.39,16489.73,16353.39,16275.39,2596313.0
HSI,20240307,16417.77,16512.41,16229.78,16136.12,2535414.0
HSI,20240306,16167.45,16545.05,16438.09,16145.22,2488701.0
HSI,20240305,16343.95,16450.37,16162.64,16095.68,2697889.0
HSI,20240304,16629.55,16645.96,16595.97,16473.65,2519018.0
HSI,20240301,16390.89,16651.67,16589.44,16321.12,2880659.0
HSI,20240229,16429.57,16695.36,16511.44,16429.57,3380825.0
HSI,20240228,16833.61,16844.33,16536.85,16517.84,2587722.0
HSI,20240227,16645.63,16828.67,16790.8,16453.5,2423910.0
HSI,20240226,16684.96,16777.41,16634.74,16590.71,2253550.0
HSI,20240223,16654.68,16895.82,16725.86,16654.68,2903144.0
HSI,20240222,16489.84,16742.95,16742.95,16424.79,2739673.0
HSI,20240221,16182.93,16756.01,16503.1,16138.81,3844263.0
HSI,20240220,16222.09,16274.56,16247.51,16055.08,2205924.0
HSI,20240219,16334.47,16334.47,16155.61,16137.98,2185821.0
HSI,20240216,16007.54,16394.16,16339.96,15937.28,1742961.0
HSI,20240215,15824.21,16029.02,15944.63,15751.36,1056900.0
HSI,20240214,15579.41,15911.05,15879.38,15456.32,1403033.0
HSI,20240209,15709.3,15754.01,15746.58,15531.03,745466.38
HSI,20240208,15988.62,16093.52,15878.07,15821.86,1940615.0
HSI,20240207,16282.39,16408.15,16081.89,16035.43,2809645.0
HSI,20240206,15541.23,16154.05,16136.87,15541.23,3314171.0
HSI,20240205,15336.86,15669.77,15510.01,15336.86,2313277.0
HSI,20240202,15756.12,15912.61,15533.56,15435.85,2475955.0
HSI,20240201,15522.86,15805.06,15566.21,15434.82,2454568.0
HSI,20240131,15652.05,15744.04,15485.07,15411.66,2594938.0
HSI,20240130,15896.66,15896.66,15703.45,15654.97,2565524.0
HSI,20240129,16046.25,16258.45,16077.24,16012.59,2923199.0
HSI,20240126,16158.72,16240.96,15952.23,15888.04,3314021.0
HSI,20240125,15989.94,16254.93,16211.96,15828.93,4096405.0
HSI,20240124,15602.45,15975.11,15899.87,15412.1,3597683.0
HSI,20240123,15038.33,15516.8,15353.98,14994.37,2804010.0
HSI,20240122,15349.05,15362.91,14961.18,14794.16,2812385.0
HSI,20240119,15404.69,15540.75,15308.69,15207.99,2242257.0
HSI,20240118,15301.19,15463.69,15391.79,15183.96,2815987.0
