symbol,date,open,high,close,low,volume
N225,20240618,38433.48,38519.02,38482.11,38332.89,970820.0
N225,20240617,38440.98,38442.7,38102.44,37950.2,1074895.0
N225,20240614,38587.57,39025.7,38814.56,38554.75,1571160.0
N225,20240613,39182.06,39252.44,38720.47,38689.79,1159250.0
N225,20240612,38865.15,38945.99,38876.71,38809.36,1081607.0
N225,20240611,39175.59,39336.66,39134.79,39074.88,933290.0
N225,20240610,38689.78,39081.54,39038.16,38689.78,892254.82
N225,20240607,38597.55,38747.27,38683.93,38560.85,962350.0
N225,20240606,38841.66,39011.93,38703.51,38693.5,1189150.0
N225,20240605,38654.09,38656.41,38490.17,38343.98,1193700.0
N225,20240604,38702.54,38895.06,38837.46,38591.79,1178680.0
N225,20240603,38734.95,39032.5,38923.03,38734.95,1158550.0
N225,20240531,38173.22,38526.93,38487.9,38087.61,2110100.0
N225,20240530,38112.77,38138.03,38054.13,37617.0,1173392.0
N225,20240529,38880.5,39141.99,38556.87,38524.24,1239150.0
N225,20240528,38879.15,38981.97,38855.37,38756.13,1012076.4
N225,20240527,38766.21,38900.02,38900.02,38667.93,942391.38
N225,20240524,38506.03,38740.82,38646.11,38367.7,963050.0
N225,20240523,38803.13,39129.47,39103.22,38617.43,1077550.0
N225,20240522,38823.91,38854.99,38617.1,38592.94,1055200.0
N225,20240521,39232.16,39346.15,38946.93,38942.28,1067190.0
N225,20240520,38761.71,39437.16,39069.68,38703.7,1274420.0
N225,20240517,38561.04,38842.49,38787.38,38539.56,1333350.0
N225,20240516,38645.96,38949.38,38920.26,38513.33,1579430.0
N225,20240515,38533.09,38816.6,38385.73,38335.61,1462730.0
N225,20240514,38287.99,38477.68,38356.06,38084.71,1432620.0
N225,20240513,38211.61,38273.4,38179.46,37969.58,1287350.0
N225,20240510,38361.79,38741.88,38229.11,38126.91,1673420.0
N225,20240509,38242.92,38429.81,38073.98,38072.24,1185500.0
N225,20240508,38677.57,38749.35,38202.37,38159.85,1201060.0
N225,20240507,38636.23,38863.14,38835.1,38541.97,1152390.0
N225,20240502,38004.01,38355.6,38236.07,37958.19,1019280.0
N225,20240501,38107.38,38433.34,38274.05,38036.24,1085430.0
N225,20240430,38312.66,38608.17,38405.66,38182.11,1514280.0
N225,20240426,37725.61,38097.54,37934.76,37550.7,1248540.0
N225,20240425,38065.91,38129.53,37628.48,37604.23,1138520.0
N225,20240424,37871.92,38460.08,38460.08,37857.47,1211310.0
N225,20240423,37797.06,37817.78,37552.16,37397.27,959270.0
N225,20240422,37240.93,37511.8,37438.61,37052.63,1193650.0
N225,20240419,37724.47,37749.48,37068.35,36733.06,1553630.0
N225,20240418,37745.04,38216.75,38079.7,37644.91,1058030.0
N225,20240417,38587.47,38587.61,37961.8,37961.8,1206440.0
N225,20240416,38750.67,38764.82,38471.2,38322.32,1329560.0
N225,20240415,39056.93,39232.8,39232.8,38820.95,1070153.0
N225,20240412,39722.02,39774.82,39523.55,39457.73,1071270.0
N225,20240411,39090.68,39473.48,39442.63,39065.31,1070020.0
N225,20240410,39582.33,39708.7,39581.81,39510.48,974150.0
N225,20240409,39496.95,39773.13,39773.13,39476.13,1059200.0
N225,20240408,39391.98,39617.36,39347.04,39197.0,1083010.0
N225,20240405,39237.39,39274.76,38992.08,38774.24,1295620.0
N225,20240404,39928.33,40243.02,39773.14,39773.14,1451450.0
N225,20240403,39503.72,39625.9,39451.85,39217.04,1231750.0
N225,20240402,39892.59,40151.05,39838.91,39707.87,1157950.0
N225,20240401,40646.7,40697.22,39803.09,39706.45,1345110.0
N225,20240329,40277.45,40521.71,40369.44,40268.11,1219790.0
N225,20240328,40324.42,40482.02,40168.07,40054.06,1356287.0
N225,20240327,40517.17,40979.36,40762.73,40452.21,1213120.0
N225,20240326,40345.04,40529.53,40398.03,40280.85,1013657.5
N225,20240325,40798.96,40837.18,40414.12,40414.12,1014820.7
N225,20240322,40942.88,41087.75,40888.43,40714.14,1360970.0
N225,20240321,40511.55,40823.32,40815.66,40452.19,1571820.0
N225,20240319,39622.58,40003.6,40003.6,39407.5,1346930.0
N225,20240318,38960.99,39769.11,39740.44,38935.47,1287370.0
N225,20240315,38548.16,38808.68,38707.64,38519.94,1670970.0
N225,20240314,38591.73,38840.33,38807.38,38400.17,1110680.0
N225,20240313,39059.95,39147.8,38695.97,38452.57,1053540.0
N225,20240312,38470.39,38841.8,38797.51,38271.38,1129330.0
N225,20240311,39232.14,39241.28,38820.49,38496.66,13291980.0
N225,20240308,39809.56,39989.33,39688.94,39551.6,1433390.0
N225,20240307,40331.06,40472.11,39598.71,39518.4,1371710.0
N225,20240306,39792.37,40147.77,40090.78,39769.04,1129190.0
N225,20240305,39881.73,40226.99,40097.63,39840.34,11522700.0
N225,20240304,40201.76,40314.64,40109.23,40001.55,1194470.0
N225,20240301,39254.69,39990.23,39910.82,39224.64,1227730.0
N225,20240229,38935.53,39250.12,39166.19,38876.81,1659900.0
N225,20240228,39189.22,39283.95,39208.03,39075.47,1199280.0
N225,20240227,39260.78,39426.29,39239.52,39113.03,11909500.0
N225,20240226,39320.64,39388.08,39233.71,39181.03,1256920.0
N225,20240222,38508.07,39156.97,39098.68,38508.07,1229250.0
N225,20240221,38191.97,38339.7,38262.16,38095.15,1047190.0
N225,20240220,38510.37,38742.33,38363.61,38288.04,1084830.0
N225,20240219,38473.41,38555.84,38470.38,38281.7,10202095.0
N225,20240216,38517.37,38865.06,38487.24,38361.55,15171740.0
N225,20240215,38017.83,38188.74,38157.94,37935.36,1299940.0
N225,20240214,37712.87,37825.85,37703.32,37594.47,1202740.0
N225,20240213,37248.36,38010.69,37963.97,37184.1,1405041.0
N225,20240209,36915.44,37287.26,36897.42,36807.03,1467660.0
N225,20240208,36258.84,36956.97,36863.28,36206.2,1509860.0
N225,20240207,36002.99,36195.5,36119.92,35854.63,1265210.0
N225,20240206,36249.08,36294.48,36160.66,36065.98,1346890.0
N225,20240205,36419.34,36452.62,36354.16,36213.0,1305290.0
N225,20240202,36249.99,36441.09,36158.02,36083.61,11482100.0
N225,20240201,36008.56,36146.36,36011.46,35924.6,1181340.0
N225,20240131,35747.89,36292.53,36286.71,35704.58,1110950.0
N225,20240130,36196.64,36249.03,36065.86,36039.31,878990.0
N225,20240129,35814.29,36186.87,36026.94,35813.77,955080.0
N225,20240126,36003.0,36060.4,35751.07,35687.58,1096370.0
N225,20240125,36213.14,36312.36,36236.47,35912.54,945900.0
N225,20240124,36415.66,36471.39,36226.48,36104.89,1086270.0
N225,20240123,36605.3,36984.51,36517.57,36436.07,1114940.0
N225,20240122,36294.1,36571.8,36546.95,36225.91,1000020.0
N225,20240119,35913.72,36076.23,35963.27,35790.07,1041180.0
N225,20240118,35371.25,35728.09,35466.17,35371.25,10028500.0
N225,20240117,35850.18,36239.22,35477.75,35476.52,13951600.0
N225,20240116,35909.2,35955.68,35619.18,35587.53,1034460.0
N225,20240115,35634.12,36008.23,35901.79,35544.32,1056760.0
N225,20240112,35601.65,35839.65,35577.11,35362.24,1292260.0
N225,20240111,34871.33,35157.56,35049.86,34849.57,1300580.0
N225,20240110,33896.33,34539.02,34441.72,33885.74,1059840.0
N225,20240109,33704.83,33990.28,33763.18,33600.32,1120660.0
N225,20240105,33397.52,33568.04,33377.42,33257.43,1153310.0
N225,20240104,33193.05,33299.39,33288.29,32693.18,1172830.0
N225,20231229,33458.64,33652.71,33464.17,33305.17,890360.0
N225,20231228,33477.47,33571.73,33539.62,33411.24,733090.0
N225,20231227,33532.97,33755.75,33681.24,33521.52,936830.0
N225,20231226,33295.68,33312.26,33305.85,33181.36,682650.0
N225,20231225,33414.51,33414.51,33254.03,33221.57,589420.0
N225,20231222,33257.95,33375.19,33169.05,33151.7,894120.0
N225,20231221,33276.81,33337.84,33140.47,33097.79,955770.0
N225,20231220,33467.32,33824.06,33675.94,33467.32,1179500.0
N225,20231219,32774.21,33219.39,33219.39,32654.43,1063080.0
N225,20231218,32769.23,32790.58,32758.98,32541.23,1068770.0
N225,20231215,32760.56,33122.33,32970.55,32732.66,1410970.0
N225,20231214,33032.3,33120.55,32686.25,32515.04,1333500.0
N225,20231213,32973.47,33104.47,32926.35,32864.38,999520.0
N225,20231212,33107.65,33172.13,32843.7,32800.24,980670.0
N225,20231211,32665.09,32933.08,32791.8,32650.1,1057750.0
N225,20231208,32600.47,32604.35,32307.86,32205.38,1441590.0
N225,20231207,33165.72,33195.87,32858.31,32814.69,1051260.0
N225,20231206,32928.92,33452.13,33445.9,32914.09,912040.0
N225,20231205,33022.38,33089.82,32775.82,32726.68,860870.0
N225,20231204,33318.07,33324.38,33231.27,33023.04,873010.0
N225,20231201,33537.44,33551.57,33431.51,33397.42,875980.0
N225,20231130,33260.14,33486.89,33486.89,33161.07,1521570.0
N225,20231129,33244.43,33516.23,33321.22,33179.07,892280.0
N225,20231128,33520.39,33545.85,33408.39,33298.04,840970.0
N225,20231127,33710.03,33811.41,33447.67,33397.04,827170.0
N225,20231124,33752.05,33817.86,33625.53,33622.57,806940.0
N225,20231122,33182.99,33593.5,33451.83,33182.99,756220.0
N225,20231121,33453.15,33460.32,33354.14,33254.73,919150.0
N225,20231120,33559.62,33853.46,33388.03,33352.69,948790.0
N225,20231117,33344.85,33599.63,33585.2,33263.67,932130.0
N225,20231116,33399.59,33614.13,33424.41,33233.84,941900.0
N225,20231115,33112.31,33556.52,33519.7,33096.93,1237750.0
N225,20231114,32760.51,32836.27,32695.93,32667.4,880914.88
N225,20231113,32818.15,32913.31,32585.11,32499.28,905940.0
N225,20231110,32491.24,32598.93,32568.11,32248.24,1112710.0
N225,20231109,32316.39,32723.71,32646.46,32193.2,1155450.0
N225,20231108,32457.23,32512.17,32166.48,32049.34,1561830.0
N225,20231107,32551.77,32591.11,32271.82,32250.93,1067050.0
N225,20231106,32450.82,32766.54,32708.48,32395.5,1393630.0
N225,20231102,31987.02,32087.13,31949.89,31878.36,1210660.0
N225,20231101,31311.22,31601.65,31601.65,31301.51,1300570.0
N225,20231031,30694.96,30973.66,30858.85,30552.65,1343470.0
N225,20231030,30663.48,30762.5,30696.96,30538.29,1869950.0
